date,upper,lower,heater
2020.03.23 13:35:01,   6.91,   6.75,   3.86
2020.03.23 13:35:02,   6.94,   6.80,   6.76
2020.03.23 13:35:03,   6.97,   6.83,   6.78
2020.03.23 13:35:04,   6.98,   6.85,   6.80
2020.03.23 13:35:05,   7.00,   6.86,   6.82
2020.03.23 13:35:06,   7.02,   6.88,   6.83
2020.03.23 13:35:07,   7.03,   6.90,   6.85
2020.03.23 13:35:08,   7.04,   6.91,   6.87
2020.03.23 13:35:09,   7.06,   6.93,   6.89
2020.03.23 13:35:10,   7.08,   6.95,   6.91
2020.03.23 13:35:11,   7.09,   6.97,   6.97
2020.03.23 13:35:12,   7.11,   6.98,  10.40
2020.03.23 13:35:13,   7.12,   7.00,  14.77
2020.03.23 13:35:14,   7.14,   7.01,  18.61
2020.03.23 13:35:15,   7.15,   7.02,  19.07
2020.03.23 13:35:16,   7.16,   7.03,  18.12
2020.03.23 13:35:17,   7.17,   7.03,  17.14
2020.03.23 13:35:18,   7.18,   7.03,  16.17
2020.03.23 13:35:19,   7.17,   7.03,  15.30
2020.03.23 13:35:20,   7.17,   7.03,  14.52
2020.03.23 13:35:21,   7.18,   7.03,  13.85
2020.03.23 13:35:22,   7.18,   7.03,  13.24
2020.03.23 13:35:23,   7.17,   7.03,  12.68
2020.03.23 13:35:24,   7.17,   7.02,  12.19
2020.03.23 13:35:25,   7.17,   7.02,  11.75
2020.03.23 13:35:26,   7.17,   7.03,  11.37
2020.03.23 13:35:27,   7.16,   7.02,  11.03
2020.03.23 13:35:28,   7.17,   7.02,  10.73
2020.03.23 13:35:29,   7.16,   7.01,  10.46
2020.03.23 13:35:30,   7.15,   6.99,  10.17
2020.03.23 13:35:31,   7.14,   6.98,   9.93
2020.03.23 13:35:32,   7.14,   6.97,   9.70
2020.03.23 13:35:33,   7.13,   6.95,   9.51
2020.03.23 13:35:34,   7.12,   6.94,   9.32
2020.03.23 13:35:35,   7.11,   6.93,   9.14
2020.03.23 13:35:36,   7.11,   6.92,   8.98
2020.03.23 13:35:37,   7.11,   6.92,   8.85
2020.03.23 13:35:38,   7.11,   6.91,   8.72
2020.03.23 13:35:39,   7.12,   6.91,   8.62
2020.03.23 13:35:40,   7.13,   6.91,   8.53
2020.03.23 13:35:41,   7.14,   6.92,   8.46
2020.03.23 13:35:42,   7.15,   6.93,   8.40
2020.03.23 13:35:43,   7.16,   6.94,   8.35
2020.03.23 13:35:44,   7.17,   6.95,   8.31
2020.03.23 13:35:45,   7.19,   6.96,   8.27
2020.03.23 13:35:46,   7.19,   6.98,   8.23
2020.03.23 13:35:47,   7.20,   6.99,   8.18
2020.03.23 13:35:48,   7.20,   6.99,   8.12
2020.03.23 13:35:49,   7.21,   7.00,   8.07
2020.03.23 13:35:50,   7.21,   7.01,   8.03
2020.03.23 13:35:51,   7.22,   7.02,   7.99
2020.03.23 13:35:52,   7.21,   7.02,   7.94
2020.03.23 13:35:53,   7.21,   7.02,   7.89
2020.03.23 13:35:54,   7.21,   7.02,   7.84
2020.03.23 13:35:55,   7.21,   7.03,   7.80
2020.03.23 13:35:56,   7.20,   7.03,   7.75
2020.03.23 13:35:57,   7.19,   7.02,   7.70
2020.03.23 13:35:58,   7.17,   7.01,   7.64
2020.03.23 13:35:59,   7.15,   6.99,   7.57
2020.03.23 13:36:00,   7.12,   6.97,   7.48
2020.03.23 13:36:01,   7.09,   6.94,   7.41
2020.03.23 13:36:02,   7.07,   6.92,   7.35
2020.03.23 13:36:03,   7.05,   6.90,   7.29
2020.03.23 13:36:04,   7.04,   6.88,   7.24
2020.03.23 13:36:05,   7.03,   6.87,   7.20
2020.03.23 13:36:06,   7.02,   6.86,   7.17
2020.03.23 13:36:07,   7.01,   6.85,   7.14
2020.03.23 13:36:08,   7.01,   6.85,   7.11
2020.03.23 13:36:09,   7.00,   6.84,   7.09
2020.03.23 13:36:10,   7.00,   6.84,   7.07
2020.03.23 13:36:11,   7.00,   6.84,   7.06
2020.03.23 13:36:12,   7.00,   6.84,   7.05
2020.03.23 13:36:13,   7.00,   6.84,   7.04
2020.03.23 13:36:14,   7.00,   6.83,   7.03
2020.03.23 13:36:15,   7.00,   6.83,   7.02
2020.03.23 13:36:16,   7.00,   6.83,   7.01
2020.03.23 13:36:17,   7.01,   6.84,   7.01
2020.03.23 13:36:18,   7.02,   6.85,   7.02
2020.03.23 13:36:19,   7.04,   6.86,   7.03
2020.03.23 13:36:20,   7.05,   6.88,   7.04
2020.03.23 13:36:21,   7.07,   6.90,   7.06
2020.03.23 13:36:22,   7.09,   6.92,   7.08
2020.03.23 13:36:23,   7.11,   6.93,   7.10
2020.03.23 13:36:24,   7.12,   6.95,   7.11
2020.03.23 13:36:25,   7.13,   6.96,   7.12
2020.03.23 13:36:26,   7.14,   6.98,   7.13
2020.03.23 13:36:27,   7.15,   6.99,   7.14
2020.03.23 13:36:28,   7.15,   7.00,   7.14
2020.03.23 13:36:29,   7.16,   7.00,   7.14
2020.03.23 13:36:30,   7.16,   7.01,   7.14
2020.03.23 13:36:31,   7.16,   7.01,   7.13
2020.03.23 13:36:32,   7.15,   7.01,   7.12
2020.03.23 13:36:33,   7.14,   7.01,   7.10
2020.03.23 13:36:34,   7.13,   7.00,   7.09
2020.03.23 13:36:35,   7.13,   7.00,   7.07
2020.03.23 13:36:36,   7.13,   7.00,   7.06
2020.03.23 13:36:37,   7.13,   7.00,   7.06
2020.03.23 13:36:38,   7.12,   7.00,   7.05
2020.03.23 13:36:39,   7.12,   7.00,   7.04
2020.03.23 13:36:40,   7.12,   7.00,   7.04
2020.03.23 13:36:41,   7.12,   7.00,   7.03
2020.03.23 13:36:42,   7.12,   7.01,   7.03
2020.03.23 13:36:43,   7.11,   7.01,   7.03
2020.03.23 13:36:44,   7.11,   7.00,   7.02
2020.03.23 13:36:45,   7.11,   7.00,   7.01
2020.03.23 13:36:46,   7.11,   7.00,   7.01
2020.03.23 13:36:47,   7.11,   7.00,   7.00
2020.03.23 13:36:48,   7.11,   6.99,   7.00
2020.03.23 13:36:49,   7.11,   7.00,   7.00
2020.03.23 13:36:50,   7.11,   7.00,   7.00
2020.03.23 13:36:51,   7.11,   7.00,   7.00
2020.03.23 13:36:52,   7.11,   7.01,   7.01
2020.03.23 13:36:53,   7.12,   7.01,   7.01
2020.03.23 13:36:54,   7.13,   7.03,   7.02
2020.03.23 13:36:55,   7.14,   7.03,   7.03
2020.03.23 13:36:56,   7.14,   7.04,   7.03
2020.03.23 13:36:57,   7.14,   7.04,   7.03
2020.03.23 13:36:58,   7.14,   7.04,   7.03
2020.03.23 13:36:59,   7.13,   7.04,   7.02
2020.03.23 13:37:00,   7.12,   7.04,   7.01
2020.03.23 13:37:01,   7.11,   7.02,   7.00
2020.03.23 13:37:02,   7.11,   7.02,   6.98
2020.03.23 13:37:03,   7.11,   7.02,   6.98
